organisation,interventions,tags
local-authority:STH,innovation;improvement;engagement,lpa;Software;direct:Software;PropTech;direct:PropTech;planx-data;local-authority;local-planning-authority;mineral-planning-authority;waste-planning-authority;improvement;engagement;innovation;direct:engagement;direct:improvement;direct:innovation
local-authority:STV,improvement;engagement,lpa;Software;direct:Software;PropTech;direct:PropTech;planx-data;local-authority;local-planning-authority;improvement;engagement;direct:engagement;direct:improvement
local-authority:SUA,innovation,lpa;PropTech;direct:PropTech;local-authority;local-planning-authority;mineral-planning-authority;waste-planning-authority;innovation;direct:innovation
local-authority:SUR,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:SWK,software,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;software;direct:software
local-authority:SWL,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:TAM,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:TAN,innovation;improvement,lpa;Software;direct:Software;PropTech;direct:PropTech;planx-data;local-authority;local-planning-authority;improvement;innovation;direct:improvement;direct:innovation
local-authority:TEI,innovation,lpa;PropTech;direct:PropTech;local-authority;local-planning-authority;innovation;direct:innovation
local-authority:TEN,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:TEW,software;integration,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;software;integration;direct:integration;direct:software
local-authority:THA,innovation;improvement,lpa;Software;direct:Software;PropTech;direct:PropTech;planx-data;local-authority;local-planning-authority;improvement;innovation;direct:improvement;direct:innovation
local-authority:THE,engagement,lpa;PropTech;local-authority;local-planning-authority;engagement
local-authority:TOB,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;mineral-planning-authority;waste-planning-authority;improvement;direct:improvement
local-authority:TRF,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:TWH,innovation;improvement,lpa;Software;direct:Software;PropTech;direct:PropTech;planx-data;local-authority;local-planning-authority;improvement;innovation;direct:improvement;direct:innovation
local-authority:UTT,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:WAE,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:WAT,engagement,lpa;PropTech;direct:PropTech;local-authority;local-planning-authority;engagement;direct:engagement
local-authority:WBK,integration,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;mineral-planning-authority;waste-planning-authority;integration;direct:integration
local-authority:WDE,innovation;engagement,lpa;PropTech;local-authority;local-planning-authority;engagement;innovation
local-authority:WEA,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:WFT,integration;engagement,lpa;Software;direct:Software;PropTech;direct:PropTech;planx-data;local-authority;local-planning-authority;integration;engagement;direct:engagement;direct:integration
local-authority:WFUA,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;mineral-planning-authority;waste-planning-authority;improvement;direct:improvement
local-authority:WGN,innovation,lpa;PropTech;direct:PropTech;local-authority;local-planning-authority;innovation;direct:innovation
local-authority:WIL,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;mineral-planning-authority;waste-planning-authority;improvement;direct:improvement
local-authority:WLI,innovation,lpa;PropTech;local-authority;local-planning-authority;innovation
local-authority:WLL,engagement,lpa;PropTech;direct:PropTech;local-authority;local-planning-authority;engagement;direct:engagement
local-authority:WND,engagement,lpa;PropTech;direct:PropTech;local-authority;local-planning-authority;engagement;direct:engagement
local-authority:WOC,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:WOT,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:WOX,innovation;improvement;engagement,lpa;Software;direct:Software;PropTech;direct:PropTech;planx-data;local-authority;local-planning-authority;improvement;engagement;innovation;direct:engagement;direct:improvement;direct:innovation
local-authority:WRL,innovation;integration;engagement,lpa;Software;direct:Software;PropTech;direct:PropTech;planx-data;local-authority;local-planning-authority;integration;engagement;innovation;direct:engagement;direct:integration;direct:innovation
local-authority:WSM,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:WYC,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:YOR,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;mineral-planning-authority;waste-planning-authority;improvement;direct:improvement
national-park-authority:Q27159704,improvement,lpa;Software;direct:Software;planx-data;national-park-authority;local-planning-authority;mineral-planning-authority;waste-planning-authority;improvement;direct:improvement
national-park-authority:Q72617158,improvement,lpa;Software;direct:Software;planx-data;national-park-authority;local-planning-authority;mineral-planning-authority;waste-planning-authority;improvement;direct:improvement
